Id,Label,timeset,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
David_MartinW,David_MartinW,,3,8,8,16,11,8,19,9,0.234494,0.278126,10436.649264
Esterpensativa,Esterpensativa,,2,0,6,6,0,6,6,9,0.200434,0.235575,0
elcaprat,elcaprat,,2,0,9,9,0,9,9,9,0.234797,0.287741,0
aajardi,aajardi,,1,20,8,28,26,8,34,10,0.189171,0.225342,2898.99339
tmanjavacas,tmanjavacas,,5,0,5,5,0,6,6,11,0.140752,0.168023,0
detectanyordos4,detectanyordos4,,6,5,2,7,5,2,7,2,0.666667,0.75,5
CesarLagonigro,CesarLagonigro,,7,224,5,229,255,8,263,12,0.137041,0.164975,22216.320336
Almat49,Almat49,,6,0,7,7,0,9,9,13,0.122621,0.155485,0
NuriaOMahony,NuriaOMahony,,3,9,16,25,10,18,28,9,0.228666,0.292442,10144.04988
montca224,montca224,,7,0,7,7,0,12,12,10,0.182895,0.220357,0
RiTA_clic,RiTA_clic,,0,0,9,9,0,62,62,10,0.18521,0.231388,0
ted_bundy2512,ted_bundy2512,,6,0,9,9,0,11,11,10,0.182959,0.232871,0
mbrugues,mbrugues,,4,0,7,7,0,7,7,9,0.216237,0.258439,0
anaoromi,anaoromi,,1,2,74,76,2,99,101,7,0.448468,0.554481,560.99881
g_carme234,g_carme234,,1,2,18,20,5,19,24,9,0.231331,0.300397,270.977381
manelnn51,manelnn51,,1,0,7,7,0,9,9,10,0.171499,0.207925,0
BfarnosB,BfarnosB,,1,3,3,6,3,3,6,10,0.191667,0.220763,5870.26013
ernest_sant,ernest_sant,,1,36,5,41,54,8,62,2,0.7,0.785714,1268.910504
dari_low,dari_low,,2,0,6,6,0,6,6,10,0.159746,0.188693,0
CobetEnric,CobetEnric,,4,0,5,5,0,9,9,9,0.211774,0.246013,0
aquipuedo,aquipuedo,,4,100,11,111,140,15,155,8,0.26513,0.322843,43623.266552
vjjordanc,vjjordanc,,1,102,1,103,190,27,217,0,0,0,0
jmcaballero58,jmcaballero58,,2,0,7,7,0,12,12,10,0.167777,0.199254,0
