Id,Label,timeset,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
LluisMacabeu,LluisMacabeu,,6,0,8,8,0,10,10,9,0.192629,0.230067,0
Sam37162714,Sam37162714,,7,0,5,5,0,7,7,9,0.201154,0.235679,0
SantacreuRosa,SantacreuRosa,,4,0,11,11,0,15,15,9,0.226863,0.277112,0
joanbeia,joanbeia,,2,0,5,5,0,5,5,15,0.091813,0.113009,0
IsabelPrezVale2,IsabelPrezVale2,,7,0,7,7,0,12,12,2,0.769231,0.85,0
PinyolJordi,PinyolJordi,,7,0,5,5,0,7,7,9,0.216342,0.254177,0
InesArrimadas,InesArrimadas,,1,10,0,10,11,0,11,0,0,0,0
Mel25472905,Mel25472905,,7,0,7,7,0,12,12,2,0.733333,0.818182,0
alfsilvan,alfsilvan,,7,1,5,6,1,5,6,11,0.169221,0.205868,254.466234
Kostas6969K,Kostas6969K,,2,0,5,5,0,5,5,12,0.135833,0.160082,0
FrancJfarmo,FrancJfarmo,,6,0,11,11,0,13,13,8,0.252047,0.301844,0
Cal_Ganxet,Cal_Ganxet,,4,0,5,5,0,7,7,8,0.230833,0.269821,0
EnigmaheartTrue,EnigmaheartTrue,,4,0,7,7,0,8,8,8,0.229819,0.272081,0
FachoniPP,FachoniPP,,2,10,0,10,10,0,10,0,0,0,0
saribes,saribes,,4,7,3,10,10,8,18,3,0.466667,0.571429,34.5
JosebaTrevino,JosebaTrevino,,7,0,6,6,0,9,9,1,1,1,0
JoventGracia,JoventGracia,,5,6,0,6,6,0,6,0,0,0,0
juliangrau,juliangrau,,7,0,6,6,0,6,6,9,0.194386,0.224927,0
Maqueill4,Maqueill4,,4,2,4,6,2,4,6,9,0.20718,0.231736,1004.527092
jordigraur,jordigraur,,5,0,5,5,0,9,9,11,0.139196,0.162086,0
CdrIGD,CdrIGD,,7,2,4,6,2,7,9,1,1,1,12.7
HomsJoaquim,HomsJoaquim,,6,0,7,7,0,7,7,9,0.208427,0.252719,0
v1sens,v1sens,,6,10,0,10,10,0,10,0,0,0,0
joanaduc,joanaduc,,6,1,5,6,11,15,26,9,0.180221,0.207709,0
ivanvoinitski,ivanvoinitski,,6,0,6,6,0,6,6,8,0.225754,0.262601,0
AnnaTresCatorze,AnnaTresCatorze,,7,0,12,12,0,30,30,13,0.114053,0.157148,0
obulco2014,obulco2014,,1,2,5,7,2,6,8,3,0.529412,0.666667,0.433333
PalmiraTercera,PalmiraTercera,,2,0,6,6,0,7,7,2,0.8,0.875,0
jcobegua,jcobegua,,2,0,5,5,0,5,5,2,0.857143,0.916667,0
vallmy,vallmy,,7,0,6,6,0,11,11,11,0.148267,0.179314,0
Krick__in_inde_,Krick__in_inde_,,6,0,5,5,0,6,6,10,0.186784,0.223622,0
XaioTro,XaioTro,,7,13,3,16,13,5,18,9,0.187669,0.212147,959.095238
peptorra10,peptorra10,,6,0,5,5,0,6,6,8,0.214729,0.252213,0
PereSenye,PereSenye,,1,3,2,5,3,2,5,1,1,1,1.2
david_ropero2,david_ropero2,,6,0,6,6,0,7,7,9,0.204428,0.240382,0
ManuB72179071,ManuB72179071,,1,5,0,5,5,0,5,0,0,0,0
mataro60,mataro60,,6,0,5,5,0,5,5,10,0.172586,0.202001,0
lamarta,lamarta,,5,0,5,5,0,6,6,2,0.692308,0.777778,0
lothlertu,lothlertu,,6,0,13,13,0,17,17,8,0.243409,0.301156,0
KRLS,KRLS,,6,573,0,573,810,0,810,0,0,0,0
xaviercatal,xaviercatal,,4,0,5,5,0,5,5,8,0.229305,0.263632,0
RibesAlicia,RibesAlicia,,1,0,18,18,0,21,21,8,0.281157,0.359553,0
Toms94851720,Toms94851720,,1,0,5,5,0,5,5,12,0.148845,0.179742,0
sysco5,sysco5,,1,0,5,5,0,5,5,11,0.151025,0.176083,0
nuria_nmfabrega,nuria_nmfabrega,,7,0,12,12,0,15,15,8,0.24216,0.295054,0
garcia_lozoya,garcia_lozoya,,7,3,2,5,3,3,6,1,1,1,23.166667
MontseGarciaCa1,MontseGarciaCa1,,6,0,6,6,0,6,6,9,0.236147,0.274688,0
flocdeneu,flocdeneu,,3,0,8,8,0,11,11,9,0.2159,0.258739,0
EsterRubio2,EsterRubio2,,4,0,7,7,0,7,7,9,0.203228,0.245674,0
josepvillon,josepvillon,,7,0,5,5,0,10,10,15,0.091631,0.111833,0
encaputxada,encaputxada,,1,3,2,5,3,2,5,1,1,1,48.398662
karewtos,karewtos,,2,0,6,6,0,8,8,9,0.200861,0.233114,0
teresa_just,teresa_just,,2,0,5,5,0,7,7,11,0.169005,0.208739,0
Postveritatum,Postveritatum,,3,0,10,10,0,10,10,8,0.239412,0.293639,0
huguet_gabriel,huguet_gabriel,,2,0,6,6,0,6,6,12,0.124832,0.152639,0
MartSchoonhoven,MartSchoonhoven,,3,0,7,7,0,8,8,10,0.19146,0.227651,0
remeiisabel,remeiisabel,,6,0,6,6,0,6,6,8,0.243409,0.288495,0
sikokosmik,sikokosmik,,2,7,4,11,7,4,11,11,0.141909,0.163624,357.396465
lluisaaguilera,lluisaaguilera,,1,1,5,6,2,5,7,13,0.123166,0.155956,5.590079
neus45,neus45,,6,0,5,5,0,5,5,1,1,1,0
jfaleixandri,jfaleixandri,,0,13,3,16,21,3,24,11,0.15602,0.181535,6.3
pancracieta,pancracieta,,4,10,0,10,11,0,11,0,0,0,0
Antorbufor,Antorbufor,,2,4,1,5,4,1,5,1,1,1,8
Radiopolli,Radiopolli,,2,43,0,43,47,0,47,0,0,0,0
sindicatsame,sindicatsame,,1,1,7,8,1,10,11,9,0.194503,0.236755,4580.788925
JACS_JaumeACS,JACS_JaumeACS,,1,8,1,9,8,1,9,1,1,1,189.359524
anna_dalloway,anna_dalloway,,3,0,6,6,0,6,6,10,0.192176,0.226723,0
Caminant_BCN,Caminant_BCN,,6,1,5,6,2,6,8,10,0.175539,0.214508,15.533333
46Rosa46,46Rosa46,,6,0,5,5,0,6,6,9,0.204112,0.247125,0
MossosXdemos,MossosXdemos,,2,44,1,45,53,2,55,14,0.09896,0.108052,4008.026984
LaRepCat,LaRepCat,,5,2,3,5,2,4,6,11,0.138554,0.156202,10303.511111
el_pais,el_pais,,1,6,0,6,12,0,12,0,0,0,0
BlocDempeus,BlocDempeus,,7,9,1,10,11,1,12,13,0.10948,0.120152,6897.830159
papachambo1,papachambo1,,1,0,7,7,0,7,7,8,0.24087,0.284988,0
jordicanals,jordicanals,,6,1,5,6,3,8,11,2,0.833333,0.9,0
estermartia,estermartia,,5,0,7,7,0,7,7,10,0.17871,0.214829,0
felipdeflandes,felipdeflandes,,3,0,5,5,0,7,7,10,0.190021,0.22157,0
elLLOP9,elLLOP9,,6,0,7,7,0,7,7,10,0.168792,0.200815,0
Montcau,Montcau,,6,17,5,22,19,7,26,12,0.151316,0.190337,4901.493464
JuntsXLH,JuntsXLH,,6,3,8,11,3,16,19,12,0.151982,0.194736,796.75
lourdesriberaan,lourdesriberaan,,6,0,5,5,0,6,6,9,0.21275,0.247367,0
LLeiDI_DI,LLeiDI_DI,,1,1,9,10,1,10,11,2,0.8,0.875,7.166667
LluisDeMar,LluisDeMar,,6,0,5,5,0,5,5,13,0.12235,0.150676,0
AlacidSergi,AlacidSergi,,7,0,7,7,0,7,7,2,0.818182,0.888889,0
FERMINATX,FERMINATX,,2,0,5,5,0,6,6,9,0.201158,0.234668,0
ThankYouFromCat,ThankYouFromCat,,6,14,3,17,14,3,17,3,0.555556,0.666667,71.75
guasch22,guasch22,,6,0,8,8,0,10,10,1,1,1,0
LaMarea7,LaMarea7,,2,12,1,13,13,1,14,10,0.163507,0.189762,1565.068543
laxarxaxanante1,laxarxaxanante1,,1,5,0,5,10,0,10,0,0,0,0
Montorpat,Montorpat,,7,0,5,5,0,10,10,13,0.111604,0.135833,0
Pere_Clota,Pere_Clota,,6,20,4,24,22,4,26,11,0.150985,0.183212,5714.798586
fvilarrubi,fvilarrubi,,2,0,6,6,0,6,6,9,0.228926,0.26981,0
BcnDesencantat,BcnDesencantat,,6,2,7,9,2,9,11,10,0.206385,0.251108,140.946032
orriolsderipoll,orriolsderipoll,,6,11,0,11,11,0,11,0,0,0,0
zeroocool1971,zeroocool1971,,6,0,5,5,0,6,6,11,0.143226,0.173833,0
JM_Segarra,JM_Segarra,,6,0,5,5,0,7,7,12,0.138086,0.172502,0
MiquelPascualC1,MiquelPascualC1,,7,0,9,9,0,13,13,2,0.909091,0.95,0
lalidieta,lalidieta,,6,0,5,5,0,5,5,12,0.132917,0.164583,0
arnaucabeza,arnaucabeza,,7,1,14,15,1,21,22,12,0.147043,0.209627,273.5
georgina_pou,georgina_pou,,6,3,4,7,3,4,7,13,0.132756,0.164394,1625.900534
joanagabarrof,joanagabarrof,,6,0,14,14,0,16,16,12,0.157095,0.220692,0
Aponsm,Aponsm,,6,0,5,5,0,5,5,1,1,1,0
monterhusmore,monterhusmore,,2,0,5,5,0,5,5,11,0.163905,0.192133,0
gar_manchon,gar_manchon,,2,1,4,5,1,4,5,9,0.191696,0.225066,8.2
lliurecattuga,lliurecattuga,,2,0,7,7,0,7,7,10,0.187036,0.225953,0
GostRita,GostRita,,0,0,5,5,0,8,8,10,0.184298,0.223198,0
Santi_040662,Santi_040662,,6,0,10,10,0,11,11,2,0.916667,0.954545,0
ElCensurat,ElCensurat,,2,5,0,5,5,0,5,0,0,0,0
omnium,omnium,,7,48,1,49,48,6,54,1,1,1,193.20119
EPascualLagunas,EPascualLagunas,,2,0,9,9,0,10,10,10,0.179949,0.219741,0
ideafix5,ideafix5,,2,0,7,7,0,7,7,11,0.153974,0.183145,0
manuelasoto16,manuelasoto16,,2,3,4,7,3,4,7,11,0.16707,0.198143,143.041667
coach_en_viu,coach_en_viu,,2,3,6,9,3,6,9,9,0.226115,0.25849,318.036905
SeveZubiri,SeveZubiri,,4,2,6,8,2,7,9,9,0.26011,0.308855,522.172222
45c32378c34f499,45c32378c34f499,,6,0,6,6,0,6,6,9,0.220366,0.260062,0
CAT_2019_INDEPE,CAT_2019_INDEPE,,7,0,5,5,0,9,9,13,0.127298,0.15814,0
Blancr1,Blancr1,,6,1,5,6,1,5,6,10,0.177337,0.20506,14.42619
Trucguanyador,Trucguanyador,,2,0,5,5,0,5,5,2,0.777778,0.857143,0
CarlesSueiras,CarlesSueiras,,6,0,6,6,0,6,6,10,0.201162,0.23711,0
cantonalista17,cantonalista17,,7,0,5,5,0,8,8,2,0.857143,0.916667,0
paco_santero,paco_santero,,3,1,4,5,1,4,5,13,0.111961,0.135434,593.5
MyriamA78,MyriamA78,,7,0,6,6,0,8,8,10,0.16305,0.191357,0
Catalana17141,Catalana17141,,0,0,6,6,0,6,6,9,0.224655,0.268662,0
Elisenda66,Elisenda66,,1,0,9,9,0,12,12,8,0.232636,0.276516,0
XavierSolerT,XavierSolerT,,6,0,7,7,0,7,7,12,0.132697,0.165889,0
annuskaodena,annuskaodena,,1,3,2,5,3,2,5,2,0.75,0.833333,540.543146
CarladelCarme,CarladelCarme,,4,6,6,12,6,7,13,9,0.229617,0.273056,1444.388167
BURBU05362987,BURBU05362987,,7,1,4,5,1,4,5,9,0.203527,0.233375,0
gatetew,gatetew,,1,0,6,6,0,7,7,1,1,1,0
griscuenc,griscuenc,,4,0,6,6,0,8,8,9,0.231605,0.273136,0
eva5lobitos,eva5lobitos,,2,15,0,15,15,0,15,0,0,0,0
efernandezo2010,efernandezo2010,,2,0,5,5,0,5,5,13,0.123002,0.155555,0
Fondesfam,Fondesfam,,7,0,7,7,0,9,9,9,0.221338,0.263503,0
Boladevidre,Boladevidre,,1,9,5,14,9,5,14,10,0.174733,0.19991,776.043759
TarragonaCdr,TarragonaCdr,,7,2,3,5,4,4,8,3,0.583333,0.690476,4
Algarsal65,Algarsal65,,7,0,5,5,0,7,7,15,0.091901,0.114231,0
EcramOllirium,EcramOllirium,,7,0,8,8,0,13,13,8,0.207646,0.247078,0
